Company,Price,PriceStartDate,Date Added,InflationAdjustedPrice,Analysis,P or E,Pre2005Flag,PreviousPatents,LatestExpiration,MonthsUntilExpiration,PriceDelta,PercentageE,Net_Income,US Company,IncomeUnknown
GILEAD,714.37,2018-01-01,2008-08-28,288.2069819701695,UCadditionalnew,P,0,13,2017-07-25,106.0,-0.04370063981454405,0.23076923076923078,7691.895238095238,1.0,0.0
GILEAD,714.37,2018-01-01,2008-08-28,288.2069819701695,No change,P,0,13,2017-07-25,106.0,-0.04370063981454405,0.23076923076923078,7691.895238095238,1.0,0.0
GILEAD,714.37,2018-01-01,2008-08-28,288.2069819701695,UCadditional,P,0,13,2017-07-25,106.0,-0.04370063981454405,0.23076923076923078,7691.895238095238,1.0,0.0
GILEAD,714.37,2018-01-01,2008-08-28,288.2069819701695,No change,P,0,13,2017-07-25,106.0,-0.04370063981454405,0.23076923076923078,7691.895238095238,1.0,0.0
GILEAD,714.37,2018-01-01,2008-08-28,288.2069819701695,UCadditional,P,0,13,2017-07-25,106.0,-0.04370063981454405,0.23076923076923078,7691.895238095238,1.0,0.0
GILEAD,714.37,2018-01-01,2008-08-28,288.2069819701695,No change,P,0,13,2017-07-25,106.0,-0.04370063981454405,0.23076923076923078,7691.895238095238,1.0,0.0
GILEAD,714.37,2018-01-01,2008-08-28,288.2069819701695,UCadditional,P,0,13,2017-07-25,106.0,-0.04370063981454405,0.23076923076923078,7691.895238095238,1.0,0.0
GILEAD,714.37,2018-01-01,2008-08-28,288.2069819701695,No change,P,0,13,2017-07-25,106.0,-0.04370063981454405,0.23076923076923078,7691.895238095238,1.0,0.0
GILEAD,714.37,2018-01-01,2008-08-28,288.2069819701695,I,E,0,13,2017-07-25,106.0,-0.04370063981454405,0.23076923076923078,7691.895238095238,1.0,0.0
GILEAD,714.37,2018-01-01,2009-10-28,288.2069819701695,No change,P,0,22,2017-07-25,92.0,-0.04370063981454405,0.23076923076923078,9566.53728333048,1.0,0.0
GILEAD,714.37,2018-01-01,2009-10-28,288.2069819701695,UCadditionalnew,P,0,22,2017-07-25,92.0,-0.04370063981454405,0.23076923076923078,9566.53728333048,1.0,0.0
GILEAD,714.37,2018-01-01,2009-10-28,288.2069819701695,UCadditionalnew,P,0,22,2017-07-25,92.0,-0.04370063981454405,0.23076923076923078,9566.53728333048,1.0,0.0
GILEAD,714.37,2018-01-01,2009-10-28,288.2069819701695,No change,P,0,22,2017-07-25,92.0,-0.04370063981454405,0.23076923076923078,9566.53728333048,1.0,0.0
GILEAD,714.37,2018-01-01,2009-10-28,288.2069819701695,UCadditional,P,0,22,2017-07-25,92.0,-0.04370063981454405,0.23076923076923078,9566.53728333048,1.0,0.0
