1 NDA #,2 Ingredient(s),3 Company,4 Product Name,5 Approval Date,6 First Cliff Expiration Date,7 Earliest Prot Date,8 Latest Prot Date,9 Additional Prot Time,10 Months of Additional Prot Time,11 Num Protections,12 Unique Patents,13 Orphan Drug Excl,14 Extensions,15 Num Patent Extensions,16 Num Exculsivity Extensions
4782,"Estrogens, Conjugated",WYETH PHARMS,Premarin*,5/8/1942,2/26/2012,7/16/2006,2/26/2012,5 years7 months,67,2,1,0,0,0,0
8372,Corticotropin,MALLINCKRODT ARD,H.P. Acthar Gel,4/29/1952,10/15/2017,10/15/2017,10/15/2017,0 years0 months,0,1,0,1,0,0,0
8809,Ascorbic Acid; Biotin; Cyanocobalamin; Dexpanthenol; Ergocalciferol; Folic Acid; Niacinamide; Pyridoxine Hydrochloride; Riboflavin Phosphate Sodium; Thiamine Hydrochloride; Vitamin A; Vitamin E,HOSPIRA,M.V.I.-12 (Without Vitamin K)*,2/20/1953,9/9/2011,9/9/2011,9/9/2011,0 years0 months,0,1,0,1,0,0,0
9190,Ethiodized Oil,GUERBET,Lipiodol,3/31/1954,4/4/2021,4/4/2021,4/4/2021,0 years0 months,0,1,0,1,0,0,0
10971,"Estrogens, Conjugated; Meprobamate",WYETH AYERST,PMB 200; PMB 400*,5/31/1957,2/26/2012,2/26/2012,2/26/2012,0 years0 months,0,1,1,0,0,0,0
11366,Dichlorphenamide,STRONGBRIDGE US,Keveyis,7/22/1958,8/7/2022,8/7/2022,8/7/2022,0 years0 months,0,1,0,1,0,0,0
11522,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate,TEVA WOMENS,Adderall*,1/19/1960,1/6/2021,7/6/2020,1/6/2021,0 years6 months,6,2,1,0,0,0,0
11792,Carisoprodol,MYLAN SPECIALITY LP,Soma,4/9/1959,9/13/2010,9/13/2010,9/13/2010,0 years0 months,0,1,0,0,0,0,0
12827,Glycopyrrolate,CASPER PHARMA LLC,Robinul ; Robinful Forte,8/11/1961,8/20/2023,8/20/2023,4/24/2024,0 years8 months,8,3,1,0,1,1,0
13217,Metaxalone,KING PHARMS,Skelaxin*,8/13/1962,12/3/2021,12/3/2021,2/6/2026,4 years2 months,50,4,1,0,1,1,0
13718,Oxandrolone,GEMINI LABS LLC,Oxandrin*,7/21/1964,12/5/2017,6/20/2008,12/5/2017,9 years6 months,114,6,1,0,0,0,0
16295,Hydroxyurea,BRISTOL MYERS SQUIBB,Droxia*,12/7/1967,2/25/2005,2/25/2005,2/25/2005,0 years0 months,0,1,0,1,0,0,0
17577,Oxybutynin Chloride,JANSSEN PHARMS,Ditropan*,7/16/1975,10/15/2006,4/15/2006,10/15/2006,0 years6 months,6,2,0,0,0,0,0
17697,Sincalide,BRACCO,Kinevac*,7/21/1976,8/16/2022,8/16/2022,8/16/2022,0 years0 months,0,1,1,0,0,0,0
17821,Cyclobenzaprine Hydrochloride,JANSSEN RES AND DEV,Flexeril*,8/26/1977,2/3/2006,2/3/2006,2/3/2006,0 years0 months,0,1,0,0,0,0,0
17858,Technetium TC-99M Sulfur Colloid Kit,PHARMALUCENCE,An-Sulfur Colloid,4/17/1978,8/13/2019,8/13/2019,8/13/2019,0 years0 months,0,1,0,1,0,0,0
17922,Desmopressin Acetate,FERRING PHARMS INC,DDAVP*,2/21/1978,12/23/2013,6/29/2013,12/23/2013,0 years6 months,6,4,1,0,0,0,0
17970,Tamoxifen Citrate,ASTRAZENECA,Nolvadex*,12/30/1977,3/1/2006,8/30/2005,3/1/2006,0 years7 months,7,2,0,0,0,0,0
18148,Flunisolide,IVAX RES,Nasalide*,9/24/1981,6/12/2007,6/12/2007,6/12/2007,0 years0 months,0,1,1,0,0,0,0
18163,Temazepam,SPECGX LLC,Restoril*,2/27/1981,5/18/2010,7/9/2008,5/18/2010,1 years10 months,22,3,1,0,0,0,0
18207,Trazodone Hydrochloride,PRAGMA,Desyrel,12/24/1981,3/13/2029,3/13/2029,3/13/2029,0 years0 months,0,1,1,0,0,0,0
18211,Oxybutynin Chloride,ORTHO MCNEIL JANSSEN,Ditropan*,11/29/1979,10/15/2006,4/15/2006,10/15/2006,0 years6 months,6,2,0,0,0,0,0
18276,Alprazolam,PHARMACIA AND UPJOHN,Xanax*,10/16/1981,10/29/2008,10/29/2008,12/12/2008,0 years2 months,2,2,1,0,1,1,0
