Active Ingredient,NDA #,Product Name,Company,Approval Date,P or E,Date Added,Patent Number,Expiration Date,Codes,Strengths,Delist Request,Orig,Analysis,Added strength,# added strengths,Applied to UC,2nd add,Comments
Abacavir Sulfate,20977,Ziagen*,VIIV HLTHCARE,12/17/98,P,pre-2005,5034394,12/18/11,,1,,,Pre-2005,,null,,,10/26/72
Abacavir Sulfate,20977,Ziagen*,VIIV HLTHCARE,,P,pre-2005,5089500,6/26/09,U-248,1,,,Pre-2005,,null,,,
Abacavir Sulfate,20977,Ziagen*,VIIV HLTHCARE,,P,pre-2005,6294540,5/14/18,U-65,1,,,Pre-2005,,null,,,
Abacavir Sulfate,20977,Ziagen*,VIIV HLTHCARE,,P,pre-2005,5034394*PED,6/18/12,,1,,,Pre-2005,,null,,,12/22/15
Abacavir Sulfate,20977,Ziagen*,VIIV HLTHCARE,,P,pre-2005,5089500*PED,12/26/09,,1,,,Pre-2005,,null,,,
Abacavir Sulfate,20977,Ziagen*,VIIV HLTHCARE,,P,pre-2005,6294540*PED,11/14/18,U-65,1,,,Pre-2005,,null,,,
Abacavir Sulfate,20977,Ziagen*,VIIV HLTHCARE,,E,pre-2005,,8/2/07,D-40,1,,,Pre-2005,,null,,,
Abacavir Sulfate,20977,Ziagen,VIIV HLTHCARE,,E,3/28/15,,3/23/18,D-147,1,,No,D,,null,,,
Abacavir Sulfate,20978,Ziagen*,VIIV HLTHCARE,12/17/98,P,pre-2005,5034394,12/18/11,,1,,,Pre-2005,,null,,,
Abacavir Sulfate,20978,Ziagen*,VIIV HLTHCARE,,P,pre-2005,5089500,6/26/09,U-248,1,,,Pre-2005,,null,,,
Abacavir Sulfate,20978,Ziagen*,VIIV HLTHCARE,,P,pre-2005,6294540,5/14/18,U-65,1,,,Pre-2005,,null,,,
Abacavir Sulfate,20978,Ziagen*,VIIV HLTHCARE,,P,pre-2005,5034394*PED,6/18/12,,1,,,Pre-2005,,null,,,
Abacavir Sulfate,20978,Ziagen*,VIIV HLTHCARE,,P,pre-2005,5089500*PED,12/26/09,,1,,,Pre-2005,,null,,,
Abacavir Sulfate,20978,Ziagen*,VIIV HLTHCARE,,P,pre-2005,6294540*PED,11/14/18,U-65,1,,,Pre-2005,,null,,,
