Drug,Patent/ appln.No.,Assignee,Condition(s) Treated,Drug Type,Family,Priority Date,File Date,Publication/Granted/Re-Issued Date,Expiry Date,Status,Patent Type,Description,Before/After FDA Approval,Orange / Purple Book,Google Patents URL
Biktarvy,US6153751A,Emory University,HIV,Small Molecule,1,2/1/1990,6/22/1999,11/28/2000,2/1/2010,Expired,Method of Production / Process,The patent claims cover a method of preparing intermediates and the synthesis of the compound emtricitabine. ,Before,No,https://patents.google.com/patent/US6153751A/en?oq=US6153751A
Biktarvy,US7402588B2,Emory University,HIV,Small Molecule,6,2/1/1990,3/28/2006,7/22/2008,2/1/2010,Expired,Method of Treatment,"Thapplication claimed a method for treating HIV infection in humans comprising administering an effective amount of emtricitabine, related prodrugs and simple analogs of and pharmaceutical compositions.",Before,No,https://patents.google.com/patent/US7402588B2/en?oq=US7402588B2
Biktarvy,US20050004148A1,Emory University,HIV,Small Molecule,1,2/1/1990,11/3/2003,1/6/2005,,Abandoned,Main Compound,"The application claimed the compound emtricitabine, the racemate, both enantiomeric forms, and N- and O-substituted derivatives as well as pharmaceutical compositions and use to treat HIV. ",Before,No,https://patents.google.com/patent/US20050004148A1/en?oq=US20050004148A1
Biktarvy,US5204466A,Emory University,HIV,Small Molecule,1,2/1/1990,2/1/1990,4/20/1993,4/20/2010,Expired,Method of Production / Process,The patent claims cover a process for preparing intermediates  and the synthesis of the compound emtricitabine. ,Before,No,https://patents.google.com/patent/US5204466A/en?oq=US5204466A
Biktarvy,US5210085A,Emory University,HIV,Small Molecule,1,2/1/1990,2/22/1991,5/11/1993,5/11/2010,Expired,Method of Treatment,"The patent claims cover a method for treating a human having an HIV infection comprising administering to the human an effective HIV-treatment amount of the compound emtricitabine, its phosphate forms (mono/di/tri),or N-alkylated analogs.",Before,No,https://patents.google.com/patent/US5210085A/en?oq=US5210085A
Biktarvy,US20060234982A1,Gilead Sciences,HIV,Small Molecule,3,1/14/2003,1/13/2004,10/19/2006,,Abandoned,Method of Treatment,The application claimed a method for the treatment or prevention of the symptoms or effects of an HIV infection in an infected animal which comprises administering to said animal a therapeutically effective amount of a combination comprising  emtricitabine and tenofovir alafenamide (GS-7340).  ,Before,No,https://patents.google.com/patent/US20060234982A1/en?oq=US20060234982A1
Biktarvy,US20040224916A1,Gilead Sciences,HIV,Small Molecule,3,1/14/2003,1/13/2004,11/11/2004,,Abandoned,Method of Treatment,"The application claimed a method for the treatment or prevention of the symptoms or effects of an HIV infection in an infected animal which comprises administering to said animal a therapeutically effective amount of a combination comprising  emtricitabine and tenofovir alafenamide (GS-7340), as well as other HIV drugs. ",Before,No,https://patents.google.com/patent/US20040224916A1/en?oq=US20040224916A1
Biktarvy,US20060246130A1,Gilead Sciences,HIV,Small Molecule,3,1/14/2003,1/13/2004,11/2/2006,,Abandoned,Method of Treatment,"The application claimed a method comprising administering a therapeutically effective amount of a composition comprising compositions of tenofovir disoproxil fumarate and emtricitabine, as well as a third HIV drug.",Before,No,https://patents.google.com/patent/US20060246130A1/en?oq=US20060246130A1
Biktarvy,US20140213556A1,Gilead Sciences,HIV,Small Molecule,3,1/14/2003,3/27/2014,7/31/2014,,Abandoned,Method of Treatment,The application claimed a method for the treatment or prevention of the symptoms or effects of an HIV infection in an infected animal which comprises administering to said animal a therapeutically effective amount of a composition comprising tenofovir disoproxil fumarate and emtricitabine.,Before,No,https://patents.google.com/patent/US20140213556A1/en?oq=US20140213556A1
Biktarvy,US20170232019A1,Gilead Sciences,HIV,Small Molecule,3,1/14/2003,5/4/2017,8/17/2017,,Abandoned,Method of Treatment,The application claimed a method for the treatment or prevention of the symptoms or effects of an HIV infection in an infected animal which comprises administering to said animal a therapeutically effective amount of a composition comprising tenofovir disoproxil fumarate and emtricitabine.  ,Before,No,https://patents.google.com/patent/US20170232019A1/en?oq=US20170232019A1
Biktarvy,US20170273994A1,Gilead Sciences,HIV,Small Molecule,3,1/14/2003,6/14/2017,9/28/2017,,Abandoned,Method of Treatment,The application claimed a method for the prevention of the symptoms or effects of an HIV infection in an animal which comprises administering to said animal a fixed-dose combination comprising 300 mg of tenofovir disoproxil fumarate and 200 mg of emtricitabine. ,Before,No,https://patents.google.com/patent/US20170273994A1/en?oq=US20170273994A1
Biktarvy,US20020119443A1,Gilead Sciences,HIV,Small Molecule,4,7/21/2000,7/20/2001,8/29/2002,,Abandoned,Method of Production / Process,The application claimed a screening method for identifying a methoxyphosphonate nucleotide analogue prodrug (such as analogs of tenofovir alafenamide fumarate) conferring enhanced activity in a target tissue.  ,Before,No,https://patents.google.com/patent/US20020119443A1/en?oq=US20020119443A1
Biktarvy,US20040018150A1,Gilead Sciences,HIV,Small Molecule,4,7/21/2000,7/20/2001,1/29/2004,,Abandoned,Method of Production / Process,The application claimed a screening method for identifying a methoxyphosphonate nucleotide analogue prodrug (such as analogs of tenofovir alafenamide fumarate) conferring enhanced activity in a target tissue. ,Before,No,https://patents.google.com/patent/US20040018150A1/en?oq=US20040018150A1
Biktarvy,US20030219727A1,Gilead Sciences,HIV,Small Molecule,4,7/21/2000,1/28/2003,11/27/2003,,Abandoned,Method of Production / Process,The application claimed a screening method for identifying a methoxyphosphonate nucleotide analogue prodrug (such as analogs of tenofovir alafenamide fumarate) conferring enhanced activity in a target tissue. ,Before,No,https://patents.google.com/patent/US20030219727A1/en?oq=US20030219727A1
Biktarvy,US20060024659A1,Gilead Sciences,HIV,Small Molecule,4,7/21/2000,2/24/2004,2/2/2006,,Abandoned,Method of Production / Process,The application claimed a screening method for identifying a methoxyphosphonate nucleotide analogue prodrug (such as analogs of tenofovir alafenamide fumarate) conferring enhanced activity in a target tissue. ,Before,No,https://patents.google.com/patent/US20060024659A1/en?oq=US20060024659A1
Biktarvy,US20050159392A1,Gilead Sciences,HIV,Small Molecule,4,7/21/2000,1/6/2005,7/21/2005,,Abandoned,Method of Treatment,"The application claimed a method of inhibiting replication of an HIV virion, comprising contacting a cell comprising an HIV virion with a nucleotide analog including close analogs and metabolites of tenofovir alafenamide fumarate.",Before,No,https://patents.google.com/patent/US20050159392A1/en?oq=US20050159392A1
